iter	Passed	Remaining
0	2	199
1	3	184
2	5	178
3	7	169
4	9	174
5	11	172
6	12	172
7	14	170
8	16	166
9	18	163
10	20	162
11	22	162
12	24	161
13	25	159
14	27	156
15	29	153
16	31	151
17	33	150
18	34	148
19	37	149
20	39	146
21	40	144
22	42	143
23	44	140
24	46	138
25	48	136
26	50	135
27	52	134
28	54	132
29	55	130
30	57	128
31	59	126
32	61	124
33	63	122
34	65	120
35	68	121
36	70	119
37	72	117
38	73	115
39	75	113
40	77	111
41	77	107
42	79	104
43	80	102
44	82	100
45	83	97
46	84	95
47	86	93
48	87	91
49	89	89
50	90	86
51	91	84
52	93	82
53	94	80
54	95	78
55	96	76
56	98	74
57	99	72
58	101	70
59	103	68
60	104	66
61	106	65
62	107	63
63	109	61
64	110	59
65	112	57
66	113	55
67	115	54
68	116	52
69	117	50
70	119	48
71	120	46
72	122	45
73	123	43
74	124	41
75	126	39
76	127	38
77	129	36
78	130	34
79	132	33
80	133	31
81	134	29
82	136	27
83	137	26
84	139	24
85	140	22
86	142	21
87	143	19
88	145	17
89	146	16
90	147	14
91	149	12
92	150	11
93	152	9
94	153	8
95	154	6
96	155	4
97	157	3
98	158	1
99	159	0
